x,y,z
40.6,28.3,-1.1
40.1,30.4,-1.1
40.7,31.1,-1.1
42.0,30.4,-1.1
43.5,28.3,-1.1
37.5,28.3,14.5
37.0,30.4,14.3
37.6,31.1,14.5
38.8,30.4,15.1
40.2,28.3,15.6
29.1,28.3,27.1
28.7,30.4,26.8
29.1,31.1,27.2
30.1,30.4,28.1
31.1,28.3,29.2
16.5,28.3,35.6
16.2,30.4,35.1
16.5,31.1,35.7
17.0,30.4,36.9
17.6,28.3,38.2
0.8,28.3,38.7
0.8,30.4,38.1
0.8,31.1,38.8
0.8,30.4,40.1
0.8,28.3,41.5
-15.9,28.3,35.6
-15.0,30.4,35.1
-15.0,31.1,35.7
-15.4,30.4,36.9
-15.9,28.3,38.2
-28.4,28.3,27.1
-27.4,30.4,26.8
-27.6,31.1,27.2
-28.4,30.4,28.1
-29.4,28.3,29.2
-36.2,28.3,14.5
-35.5,30.4,14.3
-36.0,31.1,14.5
-37.2,30.4,15.1
-38.5,28.3,15.6
-39.0,28.3,-1.1
-38.4,30.4,-1.1
-39.1,31.1,-1.1
-40.4,30.4,-1.1
-41.8,28.3,-1.1
-35.9,28.3,-16.7
-35.4,30.4,-16.5
-36.0,31.1,-16.8
-37.2,30.4,-17.3
-38.5,28.3,-17.8
-27.4,28.3,-29.4
-27.0,30.4,-29.0
-27.5,31.1,-29.4
-28.4,30.4,-30.4
-29.4,28.3,-31.4
-14.8,28.3,-37.8
-14.6,30.4,-37.3
-14.8,31.1,-37.9
-15.3,30.4,-39.1
-15.9,28.3,-40.4
0.8,28.3,-40.9
0.8,30.4,-40.3
0.8,31.1,-41.0
0.8,30.4,-42.3
0.8,28.3,-43.7
16.5,28.3,-37.8
16.2,30.4,-37.3
16.5,31.1,-37.9
17.0,30.4,-39.1
17.6,28.3,-40.4
29.1,28.3,-29.4
28.7,30.4,-29.0
29.1,31.1,-29.4
30.1,30.4,-30.4
31.1,28.3,-31.4
37.5,28.3,-16.7
37.0,30.4,-16.5
37.6,31.1,-16.8
38.8,30.4,-17.3
40.2,28.3,-17.8
48.7,17.2,-1.1
53.2,6.2,-1.1
56.5,-4.3,-1.1
57.7,-14.3,-1.1
45.0,17.2,17.7
49.2,6.2,19.5
52.1,-4.3,20.7
53.3,-14.3,21.2
34.8,17.2,32.9
38.0,6.2,36.1
40.3,-4.3,38.4
41.2,-14.3,39.3
19.6,17.2,43.0
21.4,6.2,47.2
22.7,-4.3,50.2
23.1,-14.3,51.3
0.8,17.2,46.7
0.8,6.2,51.3
0.8,-4.3,54.5
0.8,-14.3,55.7
-18.0,17.2,43.0
-19.7,6.2,47.2
-21.0,-4.3,50.2
-21.5,-14.3,51.3
-33.1,17.2,32.9
-36.4,6.2,36.1
-38.7,-4.3,38.4
-39.5,-14.3,39.3
-43.3,17.2,17.7
-47.5,6.2,19.5
-50.5,-4.3,20.7
-51.6,-14.3,21.2
-47.0,17.2,-1.1
-51.6,6.2,-1.1
-54.8,-4.3,-1.1
-56.0,-14.3,-1.1
-43.3,17.2,-19.9
-47.5,6.2,-21.7
-50.5,-4.3,-22.9
-51.6,-14.3,-23.4
-33.1,17.2,-35.1
-36.4,6.2,-38.3
-38.7,-4.3,-40.6
-39.5,-14.3,-41.5
-18.0,17.2,-45.3
-19.7,6.2,-49.5
-21.0,-4.3,-52.4
-21.5,-14.3,-53.6
0.8,17.2,-49.0
0.8,6.2,-53.5
0.8,-4.3,-56.7
0.8,-14.3,-58.0
19.6,17.2,-45.3
21.4,6.2,-49.5
22.7,-4.3,-52.4
23.1,-14.3,-53.6
34.8,17.2,-35.1
38.0,6.2,-38.3
40.3,-4.3,-40.6
41.2,-14.3,-41.5
45.0,17.2,-19.9
49.2,6.2,-21.7
52.1,-4.3,-22.9
53.3,-14.3,-23.4
55.5,-22.7,-1.1
50.6,-28.9,-1.1
45.7,-33.2,-1.1
43.5,-35.6,-1.1
51.2,-22.7,20.3
46.7,-28.9,18.4
42.2,-33.2,16.5
40.2,-35.6,15.6
39.6,-22.7,37.7
36.1,-28.9,34.2
32.7,-33.2,30.7
31.1,-35.6,29.2
22.3,-22.7,49.3
20.4,-28.9,44.8
18.4,-33.2,40.3
17.6,-35.6,38.2
0.8,-22.7,53.5
0.8,-28.9,48.6
0.8,-33.2,43.8
0.8,-35.6,41.5
-20.6,-22.7,49.3
-18.7,-28.9,44.8
-16.8,-33.2,40.3
-15.9,-35.6,38.2
-38.0,-22.7,37.7
-34.5,-28.9,34.2
